glyph_name,ps_name,sort_design,sort_final,in_g,in_k,usv,in_docs,doc_name,doc_uni,frame_l,frame_r1,frame_r2
.notdef,.notdef,0,0,Y,Y,,,,,,,
.null,.null,1,1,Y,Y,U+0000,,,U+0000,,,
nonmarkingreturn,nonmarkingreturn,2,2,Y,Y,U+000D,,,U+000D,,,
spacevisible,uniE080,1100,1100,Y,Y,U+E080,D,SPACE,U+0020,U+E0B3,U+E0B1,U+E0B2
nbsp,uniE082,1101,1101,Y,Y,U+E082,D,NO-BREAK SPACE,U+00A0,U+E0B3,U+E0B1,U+E0B2
nnbsp,uniE083,1102,1102,Y,Y,U+E083,D,NARROW NO-BREAK SPACE,U+202F,U+E0B3,U+E0B1,U+E0B2
enquad,uniE084,1201,1201,Y,Y,U+E084,D,EN QUAD,U+2000,U+E0B3,U+E0B1,U+E0B2
emquad,uniE085,1202,1202,Y,Y,U+E085,D,EM QUAD,U+2001,U+E0B3,U+E0B1,U+E0B2
ensp,uniE086,1203,1203,Y,Y,U+E086,D,EN SPACE,U+2002,U+E0B3,U+E0B1,U+E0B2
emsp,uniE087,1204,1204,Y,Y,U+E087,D,EM SPACE,U+2003,U+E0B3,U+E0B1,U+E0B2
threepmsp,uniE088,1205,1205,Y,Y,U+E088,D,THREE-PER-EM SPACE,U+2004,U+E0B3,U+E0B1,U+E0B2
fourpmsp,uniE089,1206,1206,Y,Y,U+E089,D,FOUR-PER-EM SPACE,U+2005,U+E0B3,U+E0B1,U+E0B2
sixpmsp,uniE08A,1207,1207,Y,Y,U+E08A,D,SIX-PER-EM SPACE,U+2006,U+E0B3,U+E0B1,U+E0B2
figuresp,uniE08B,1208,1208,Y,Y,U+E08B,D,FIGURE SPACE,U+2007,U+E0B3,U+E0B1,U+E0B2
punctsp,uniE08C,1209,1209,Y,Y,U+E08C,D,PUNCTUATION SPACE,U+2008,U+E0B3,U+E0B1,U+E0B2
thinsp,uniE08D,1210,1210,Y,Y,U+E08D,D,THIN SPACE,U+2009,U+E0B3,U+E0B1,U+E0B2
hairsp,uniE08E,1211,1211,Y,Y,U+E08E,D,HAIR SPACE,U+200A,U+E0B3,U+E0B1,U+E0B2
zwsp,uniE081,1300,1300,Y,Y,U+E081,D,ZERO WIDTH SPACE,U+200B,U+E0B3,U+E0B1,U+E0B2
zwnj,uniE079,1301,1301,Y,Y,U+E079,D,ZERO WIDTH NON-JOINER,U+200C,U+E0B3,U+E0B1,U+E0B2
zwnj_ios,uniE075,1301.1,1301.1,Y,Y,U+E075,D,ZERO WIDTH NON-JOINER (iOS),U+200C,U+E0B3,U+E0B1,U+E0B2
zwnj_android,uniE076,1301.2,1301.2,Y,Y,U+E076,D,ZERO WIDTH NON-JOINER (Android),U+200C,U+E0B3,U+E0B1,U+E0B2
zwj,uniE077,1302,1302,Y,Y,U+E077,D,ZERO WIDTH JOINER,U+200D,U+E0B3,U+E0B1,U+E0B2
wordjoiner,uniE078,1303,1303,Y,Y,U+E078,D,WORD JOINER,U+2060,U+E0B3,U+E0B1,U+E0B2
cgj,uniE07A,1304,1304,Y,Y,U+E07A,D,COMBINING GRAPHEME JOINER,U+034F,U+E0B3,U+E0B1,U+E0B2
lrmark,uniE090,1401,1401,Y,Y,U+E090,D,LEFT-TO-RIGHT MARK,U+200E,U+E0B3,U+E0B1,U+E0B2
rlmark,uniE091,1402,1402,Y,Y,U+E091,D,RIGHT-TO-LEFT MARK,U+200F,U+E0B3,U+E0B1,U+E0B2
softhyphen,uniE0A1,1601,1601,Y,Y,U+E0A1,D,SOFT HYPHEN,U+00AD,U+E0B3,U+E0B1,U+E0B2
tab,uniE0A2,1701,1701,Y,Y,U+E0A2,D,HORIZONTAL TABULATION,U+0009,U+E0B3,U+E0B1,U+E0B2
refasc,refasc,1901,1901,Y,Y,U+E0B1,D,size reference - ascender,,,,
refdesc,refdesc,1902,1902,Y,Y,U+E0B2,D,size reference - descender,,,,
refuc,refuc,1903,1903,Y,Y,U+E0B3,D,size reference - uppercase,,,,
refbox,refbox,1904,1904,Y,Y,U+E0B4,D,size reference - box,,,,
_part.dot,_part.dot,2001,2001,Y,Y,,,,,,,
_part.dotsmall,_part.dotsmall,2001.1,2001.1,Y,Y,,,,,,,
_part.ring,_part.ring,2002,2002,Y,Y,,,,,,,
